school_name,voluntary_contributions_2015,subject_contributions_2015
Crossmaglen Public School ,$280,"$1,529"
Crown Street Public School ,"$18,413",$0
Croydon Park Public School ,"$14,133","$4,621"
Croydon Public School ,"$30,625","$17,489"
Crystal Creek Public School ,$0,$0
Cudal Public School ,$0,$0
Cudgegong Valley Public School ,"$7,625",$0
Cudgen Public School ,"$2,100","$3,413"
Culburra Public School ,"$1,127",$0
Culcairn Public School ,"$4,636",$0
Cullen Bullen Public School ,$0,$0
Cumberland High School ,"$42,908","$39,377"
Cumnock Public School ,$890,"$1,180"
Cundletown Public School ,"$1,385",$0
Curl Curl North Public School ,"$57,201","$130,981"
Curlewis Public School ,$0,$485
Currabubula Public School ,$170,$0
Curran Public School ,$0,$0
Currans Hill Public School ,"$7,183",$0
Daceyville Public School ,"$6,900",$0
Dalgety Public School ,$0,$0
Dalmeny Public School ,"$18,533","$8,341"
Dalton Public School ,$300,$0
Dapto High School ,"$30,526","$49,190"
Dapto Public School ,"$5,375",$0
Darcy Road Public School ,"$25,046",$0
Dareton Public School ,$0,$0
Darlinghurst Public School ,"$69,985",$0
Darlington Point Public School ,$820,$0
Darlington Public School ,"$6,704","$5,855"
Davidson High School ,"$50,020","$250,640"
Dawson Public School ,"$1,275",$0
Dee Why Public School ,"$19,053","$9,277"
Deepwater Public School ,$365,$0
Delegate Public School ,$470,$0
Delungra Public School ,$0,$0
Deniliquin High School ,"$26,679","$6,840"
Deniliquin North Public School ,"$4,438",$0
Deniliquin South Public School ,"$7,740",$0
Denison College of Secondary Education Bathurst High Campus ,"$23,927","$82,918"
Denison College of Secondary Education Kelso High Campus ,"$18,664","$26,862"
Denistone East Public School ,"$41,061",$0
Denman Public School ,"$3,485","$10,800"
Dobroyd Point Public School ,$0,"$13,285"
Doonside High School ,"$10,095","$27,797"
Doonside Public School ,$0,$0
Dora Creek Public School ,"$1,770",$0
Dorchester School ,$0,$0
Dorrigo High School ,"$4,181","$5,551"
Dorrigo Public School ,$0,$0
Dorroughby Environmental Education Centre ,$0,$0
Double Bay Public School ,$0,"$135,045"
Doubtful Creek Public School ,$0,$0
Douglas Park Public School ,"$1,405",$0
Drake Public School ,$180,$520
Drummond Memorial Public School ,$0,$0
Drummoyne Public School ,$0,"$96,613"
Dubbo College Delroy Campus ,"$14,805","$6,649"
Dubbo College Senior Campus ,"$11,085","$13,388"
Dubbo College South Campus ,$0,"$31,823"
Dubbo North Public School ,$0,$0
Dubbo Public School ,"$7,084",$0
Dubbo School of Distance Education ,"$60,033","$26,438"
Dubbo South Public School ,"$4,010",$0
Dubbo West Public School ,$60,$0
Dudley Public School ,$0,$0
Dulwich High School of Visual Arts and Design ,"$36,406","$144,718"
Dulwich Hill Public School ,$0,"$28,094"
Dundas Public School ,"$8,770",$0
Dundurrabin Public School ,$0,$470
Dunedoo Central School ,"$4,539","$8,811"
Dungay Public School ,$0,$0
Dungog High School ,"$29,397","$53,659"
Dungog Public School ,"$3,242","$8,180"
Dungowan Public School ,$0,$0
Dunoon Public School ,"$1,280",$0
Dural Public School ,"$49,401","$5,697"
Duranbah Public School ,$510,$950
Duri Public School ,"$1,730",$0
Durrumbul Public School ,$63,$0
Duval High School ,"$27,432","$19,249"
E A Southee Public School ,$0,$0
Eagle Vale High School ,"$10,903","$22,323"
Earlwood Public School ,"$24,537","$3,410"
East Hills Boys High School ,"$75,354","$56,753"
East Hills Girls Technology High School ,"$54,915","$93,557"
East Hills Public School ,"$7,544",$0
Eastern Creek Public School ,"$4,921","$4,052"
Eastlakes Public School ,$0,"$15,888"
Eastwood Heights Public School ,"$55,274",$0
Eastwood Public School ,$0,$0
Ebenezer Public School ,"$3,512","$1,918"
Ebor Public School ,$0,$0
Eden Marine High School ,"$11,987","$36,299"
Eden Public School ,$0,$0
Edensor Park Public School ,"$6,460",$0
Edgeware School ,$156,$0
Edgeworth Heights Public School ,"$4,695",$0
Edgeworth Public School ,$30,$0
